,Race,Alcohol,Junky,Supervised Release,Married,Felony,WorkRelease,Crime against Property,Crime against Person,Gender,Priors,YearsSchool,PrisonViolations,Age,MonthsServed,Target
1106,1,0,0,1,0,1,1,0,0,0,2,1,2,0,3,1
3979,0,1,1,1,1,1,1,1,0,1,2,1,0,0,3,1
818,0,0,0,0,1,0,0,1,0,1,2,3,0,1,1,1
1666,1,0,0,1,1,1,0,0,0,1,0,2,0,0,1,0
611,1,0,1,1,1,1,0,1,0,1,2,3,2,0,1,0
3880,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0
3418,1,0,1,1,1,1,0,1,0,1,0,2,0,1,3,1
3912,0,1,0,1,0,1,1,0,1,1,0,1,2,1,3,1
576,1,0,0,1,0,0,0,0,1,0,2,2,0,2,3,1
2167,0,0,0,1,1,0,1,0,0,1,3,2,2,3,0,0
4545,1,0,0,1,1,1,1,1,0,1,0,1,2,0,1,0
1180,1,0,0,1,1,0,0,0,0,1,0,2,2,0,2,0
888,1,0,0,1,1,1,1,1,0,1,0,1,2,1,1,1
4655,0,0,0,1,1,1,0,0,1,1,0,1,2,0,2,0
3604,0,0,0,1,1,1,1,1,0,1,0,3,2,0,0,1
2804,1,0,0,0,0,1,1,0,1,1,3,2,1,3,3,0
817,0,1,0,1,1,0,0,0,0,1,3,2,2,0,2,1
3454,0,0,0,1,1,0,0,0,0,1,2,2,2,1,2,0
2029,1,0,0,1,1,1,0,1,0,1,2,0,0,2,1,0
208,1,1,0,0,0,0,1,0,1,1,1,2,0,3,1,1
293,0,1,0,0,1,0,0,1,0,1,0,1,0,2,1,1
1119,1,0,0,0,0,0,1,0,0,1,1,1,2,3,1,0
4834,0,0,0,1,1,0,0,1,0,1,2,1,0,2,2,1
3523,0,0,0,1,0,1,1,1,0,1,2,3,2,1,2,0
1264,1,0,0,1,1,0,1,0,0,1,2,2,2,3,2,0
990,1,0,1,1,1,1,0,1,0,0,2,2,0,2,1,1
4434,1,1,0,0,0,0,1,0,1,1,2,2,2,2,2,0
4301,1,0,0,1,1,1,0,0,0,1,3,3,0,3,3,0
4204,0,0,0,1,1,0,0,1,0,1,0,2,2,1,0,1
353,0,0,0,1,1,1,0,0,1,1,0,2,2,3,3,1
2021,0,0,0,1,1,0,0,1,0,1,3,2,2,2,2,1
2420,1,0,0,1,0,0,0,1,0,1,0,2,0,1,3,1
3208,1,0,0,0,0,0,1,0,0,1,2,1,0,2,0,0
1489,0,0,0,1,1,0,1,0,1,1,2,2,0,0,0,1
2688,0,0,0,1,0,1,1,0,1,1,0,1,2,1,1,0
3357,1,0,0,1,1,0,0,0,0,1,2,1,2,3,1,0
3214,0,1,1,1,1,0,0,0,1,1,2,3,2,1,0,1
1228,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1
259,1,1,0,1,0,1,1,0,1,1,2,2,2,3,1,0
2146,0,1,1,1,1,1,0,1,0,1,2,0,0,2,1,1
1937,0,0,0,1,1,0,0,1,0,1,3,1,2,3,2,1
4856,1,0,0,1,1,0,0,0,0,1,0,1,2,3,0,0
5019,0,1,1,1,1,0,0,0,0,1,2,3,0,2,1,1
2897,1,0,0,0,1,0,0,1,0,1,2,1,2,2,1,0
52,1,0,0,0,1,0,0,0,0,1,2,2,0,1,3,0
4693,0,0,0,1,1,1,0,1,0,1,0,3,1,1,3,1
3910,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0
2304,1,0,0,0,1,0,0,0,0,1,0,2,0,3,1,0
3215,1,1,0,1,1,0,0,1,0,1,0,2,2,1,0,0
3450,1,1,0,1,0,0,1,0,0,1,0,1,2,3,0,0
2465,1,1,0,0,1,0,0,0,0,1,2,2,0,1,1,0
1479,0,0,0,0,1,1,0,1,0,1,0,3,0,2,0,1
1507,0,0,0,1,1,1,0,1,0,1,2,2,0,1,3,0
1033,0,0,0,1,0,1,1,0,0,1,2,3,2,3,0,0
1097,1,0,0,1,1,0,0,1,0,1,0,2,2,3,2,0
1469,0,0,0,0,1,0,1,0,0,1,3,3,2,0,2,1
543,0,1,0,1,1,1,1,0,1,1,0,0,2,3,1,0
1046,0,1,0,1,1,0,0,0,1,1,2,2,2,1,0,0
2057,1,1,0,1,1,1,1,1,0,1,0,1,1,0,3,1
1728,1,1,0,0,0,0,1,0,0,1,3,2,2,3,2,1
30,1,0,1,1,1,1,1,0,0,1,0,2,0,0,3,1
725,1,0,1,1,1,1,0,1,0,1,1,1,1,3,3,1
2559,0,0,0,1,0,1,1,0,1,1,2,1,2,3,3,0
2201,0,0,0,1,1,1,0,1,0,1,2,3,2,1,3,0
5043,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1426,1,1,0,0,1,0,0,0,0,1,2,2,0,2,3,1
2826,1,0,0,1,1,0,0,0,0,1,0,2,0,2,3,0
4271,1,0,0,1,1,1,0,1,0,1,0,2,2,2,1,1
436,1,0,0,1,1,1,0,1,0,1,0,3,1,0,3,0
2598,0,1,1,0,1,0,0,1,0,1,2,1,0,0,2,1
912,0,0,0,0,1,1,0,1,0,0,2,1,2,1,0,0
4326,0,0,0,1,1,0,0,1,0,1,0,1,2,1,2,1
1588,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,1
4267,1,0,0,1,1,1,1,1,0,1,2,0,0,1,3,0
4622,1,1,0,0,0,0,1,0,0,1,1,2,2,3,1,0
3647,0,0,0,1,1,0,0,0,1,1,2,2,2,0,2,0
1590,1,1,0,1,1,0,0,0,0,1,0,2,2,0,0,1
2407,1,1,1,1,0,0,0,0,1,1,0,3,2,0,0,0
4715,1,1,0,1,1,1,1,0,1,1,0,1,2,1,0,0
1238,0,0,0,0,0,1,1,1,0,1,0,1,0,3,3,0
903,0,0,0,1,1,0,1,0,1,1,2,1,2,0,0,0
1932,1,1,0,1,0,1,1,1,0,1,1,2,0,3,1,1
3317,1,0,0,0,1,1,0,1,0,0,2,1,2,2,0,0
2640,0,0,0,1,1,1,0,1,0,1,2,3,0,2,3,0
507,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0
4928,0,1,1,1,1,1,0,1,0,1,2,0,2,2,0,1
183,0,0,0,1,0,0,0,0,0,1,2,3,2,1,2,1
1705,0,0,0,1,1,0,0,0,0,1,0,0,2,1,2,0
1497,1,1,0,0,1,0,0,1,0,1,0,1,2,3,0,1
3168,0,1,0,1,1,1,0,1,0,1,2,0,0,0,2,1
321,0,0,1,0,1,1,0,1,0,1,2,0,0,0,1,1
4649,0,0,0,1,1,0,0,1,0,0,2,1,2,0,2,0
4973,1,0,0,1,1,0,1,0,0,1,2,3,2,0,3,0
4339,0,1,0,1,1,0,0,1,0,1,0,2,2,3,2,0
2753,0,0,0,1,0,1,1,0,1,1,2,1,0,2,1,1
2722,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
4397,0,0,0,1,1,1,0,1,0,1,2,1,0,0,1,0
2220,0,0,1,0,1,1,0,0,0,0,2,0,2,1,0,0
1551,1,0,0,0,0,0,0,1,0,1,1,3,2,1,1,1
4547,1,0,0,1,1,0,0,0,0,1,0,2,2,3,3,0
1146,1,1,0,1,0,0,1,0,0,1,2,1,0,1,3,0
2173,1,0,0,1,1,1,0,0,0,1,2,2,0,2,0,1
2450,0,0,0,1,0,0,1,0,0,1,2,3,2,3,2,0
44,0,1,0,1,0,0,0,0,0,1,0,2,2,3,2,0
2692,0,1,0,1,1,1,0,0,1,1,2,1,2,2,2,0
1662,1,0,0,0,1,0,1,0,0,1,0,3,0,1,0,1
3362,0,0,0,0,0,0,1,0,1,1,3,2,2,3,2,0
3516,0,1,0,1,1,0,0,1,0,1,3,1,2,0,2,1
1378,1,0,0,0,0,0,1,0,0,1,0,3,2,3,1,0
2550,1,0,0,0,1,1,1,1,0,1,1,3,1,1,3,1
3176,1,0,1,1,1,1,0,1,0,1,1,1,1,3,3,1
413,0,1,0,1,1,1,1,0,1,1,1,2,0,3,3,1
2266,1,0,0,1,1,1,0,0,0,1,3,2,0,0,3,1
1407,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0
1808,0,0,0,0,0,1,0,0,0,1,2,3,2,3,1,1
801,1,1,0,1,0,0,0,0,0,0,2,1,2,3,1,0
1288,1,0,0,1,1,0,0,1,0,1,3,0,2,2,2,1
1558,0,0,0,1,0,0,0,1,0,1,0,3,2,3,3,0
2291,0,0,0,1,1,1,1,1,0,1,0,1,2,0,3,1
2654,1,0,1,1,1,0,0,0,0,1,2,1,0,2,3,0
4255,1,0,0,1,1,0,1,1,0,1,3,2,0,2,3,1
2439,1,1,0,1,1,0,0,0,1,1,0,1,2,1,2,0
256,0,0,0,1,1,1,0,0,0,1,0,3,2,1,0,1
4243,1,0,0,1,0,0,1,0,1,1,2,2,2,1,2,0
1840,1,1,0,1,1,0,0,1,0,1,2,0,2,2,0,0
1151,1,1,1,1,0,1,0,0,0,1,1,2,0,0,3,1
2627,1,0,0,1,0,0,1,0,0,1,2,3,0,1,3,1
647,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1
3065,1,0,1,1,1,1,0,1,0,1,2,2,1,2,3,1
2673,1,1,1,1,1,0,1,0,1,1,0,2,0,2,1,1
4157,0,0,0,1,1,1,1,0,1,1,0,1,2,1,3,1
3825,1,0,0,0,1,0,0,0,1,1,0,2,0,0,1,0
4113,0,0,0,0,1,0,0,0,0,1,3,2,1,0,3,1
3973,0,0,1,0,0,1,1,1,0,1,0,2,0,1,3,0
1315,0,0,0,1,0,1,0,1,0,1,0,3,0,1,3,1
1088,0,1,0,1,1,0,0,0,0,1,1,1,2,3,1,1
2317,0,0,0,1,0,0,1,0,1,1,2,0,0,1,0,0
4432,1,0,0,1,1,1,0,1,0,1,2,1,1,2,3,1
2481,1,0,0,1,1,0,0,0,0,1,2,0,0,2,3,0
1350,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,1
2629,1,0,0,1,0,0,1,0,0,1,0,2,2,1,0,0
112,0,0,0,1,1,0,0,1,0,1,2,3,2,1,1,0
3305,0,0,0,1,1,0,0,1,0,1,2,0,1,2,1,1
263,0,1,0,1,1,0,0,0,0,1,2,0,2,0,2,0
1393,1,1,0,1,1,0,0,1,0,1,2,2,2,2,1,0
4903,0,0,1,1,1,1,1,1,0,1,0,3,2,1,1,1
1186,0,0,0,1,1,1,1,1,0,1,2,1,2,2,1,1
3264,1,1,0,0,0,0,0,1,0,1,3,2,2,3,2,1
56,0,0,0,1,1,1,1,0,1,1,2,2,0,3,3,0
1309,1,0,0,1,1,0,1,0,0,1,1,2,2,3,0,0
695,1,0,0,1,0,1,1,0,0,1,0,1,2,1,0,0
4307,0,1,1,0,1,0,0,1,0,1,2,1,0,0,2,1
2313,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0
2103,1,0,0,0,1,0,0,0,0,1,2,1,2,2,1,0
1881,1,0,1,1,0,0,0,1,0,1,2,2,2,2,2,0
3098,0,0,0,1,0,1,1,0,1,1,2,3,0,1,3,0
1893,0,0,0,1,0,0,0,0,0,1,3,1,2,0,2,0
319,1,0,1,0,1,0,0,0,0,1,2,2,0,2,3,1
2406,1,0,0,0,0,0,1,1,0,1,2,1,2,0,2,0
1589,1,0,1,1,1,1,0,0,1,1,0,2,0,3,3,1
682,1,0,0,1,0,1,0,0,0,1,0,0,2,0,2,0
2436,1,0,0,1,1,0,0,0,0,1,0,1,0,0,2,1
3388,1,1,0,1,1,0,0,1,0,1,2,2,2,3,0,1
479,0,0,0,1,1,1,1,0,1,1,0,1,2,3,3,0
4118,1,0,0,0,1,0,0,0,0,1,2,1,0,0,3,1
3992,1,0,0,0,1,1,1,1,0,1,0,2,0,2,3,1
286,1,0,0,1,1,0,0,1,0,1,3,2,2,2,2,1
2053,0,1,0,1,0,0,1,0,0,1,0,3,0,3,1,0
2615,1,0,1,0,1,1,0,1,0,1,3,2,0,1,3,0
4126,1,0,0,1,0,1,0,1,0,1,2,1,2,2,0,0
1874,1,1,0,1,0,0,1,1,0,1,3,3,2,3,2,0
1870,1,0,0,0,1,1,1,0,0,1,2,3,0,0,1,0
4277,0,0,0,0,1,1,1,0,0,1,2,0,2,1,0,0
1598,0,0,0,1,1,1,0,1,0,1,2,0,1,0,1,0
2319,0,0,0,1,1,1,0,1,0,1,0,3,2,2,0,1
2187,1,0,0,1,1,1,1,0,0,1,0,2,0,0,1,1
736,1,0,0,1,1,0,1,0,0,1,2,1,0,0,1,0
1890,1,1,0,1,0,0,0,0,0,1,2,2,2,3,2,0
336,1,1,0,1,1,0,0,0,0,1,0,2,0,3,1,0
2880,0,0,0,1,1,0,0,0,0,1,0,1,2,1,3,0
3426,0,0,0,1,1,1,0,1,0,1,0,0,2,0,1,1
2780,1,1,1,1,1,0,0,0,0,0,2,2,0,2,1,0
4511,0,0,0,0,0,1,0,1,0,1,0,1,1,3,3,0
1071,1,0,0,1,1,0,0,1,0,1,3,2,2,2,2,1
3648,0,0,0,0,0,0,0,0,0,0,3,2,2,3,2,0
1822,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,1
3377,1,0,0,1,0,1,1,1,0,1,2,2,2,3,1,0
2107,1,0,0,1,0,0,1,0,0,1,2,2,2,1,0,0
2515,1,1,0,1,1,0,0,0,0,1,2,2,0,2,0,1
4215,1,1,0,1,1,0,1,0,0,1,0,2,2,1,2,0
81,0,1,0,0,1,0,1,0,0,1,1,2,2,3,1,1
3964,0,0,0,1,1,0,0,1,0,1,3,2,2,2,2,1
1714,1,0,0,0,1,1,1,0,0,1,0,3,2,0,0,0
1488,1,0,1,1,1,1,0,1,0,1,0,2,1,2,3,1
498,0,0,0,1,1,0,0,1,0,1,2,3,0,0,2,1
4451,0,0,0,1,0,0,0,0,0,1,3,1,0,3,3,1
2067,1,0,0,0,1,0,1,0,0,1,1,1,0,1,3,1
5014,1,0,0,1,1,1,1,0,1,1,2,1,0,2,3,1
2609,1,0,0,1,0,1,1,1,0,1,2,1,2,0,3,1
3078,1,0,0,1,1,0,1,0,0,1,0,3,2,3,2,0
3203,0,0,1,1,1,1,1,1,0,1,1,3,0,1,3,1
3889,1,0,0,0,1,1,1,0,0,1,2,1,0,0,0,0
1610,1,1,1,1,0,0,1,0,0,1,2,3,2,0,1,0
2264,1,1,0,0,0,0,1,0,0,1,1,1,2,3,2,0
2623,0,0,0,1,1,0,1,0,0,1,0,0,2,0,1,0
2144,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1
1022,0,0,0,0,1,1,0,1,0,1,2,2,2,2,0,1
2402,0,1,0,1,1,0,1,0,0,1,2,2,0,2,3,1
5005,1,0,0,1,1,0,1,0,1,1,2,1,2,2,0,0
4004,0,1,1,0,1,1,0,1,0,1,2,1,0,2,1,1
3230,0,0,0,1,1,0,0,0,1,1,0,2,2,1,2,1
2133,1,0,0,1,1,0,1,0,0,1,2,1,1,0,3,0
665,0,1,0,1,1,0,0,0,0,1,2,1,2,1,2,0
4921,0,1,0,1,1,0,1,1,0,1,0,2,2,1,0,1
4947,0,0,0,0,0,0,0,0,0,1,3,1,2,3,2,0
1552,0,1,0,1,1,0,1,0,0,1,2,1,0,1,3,0
4372,1,1,1,1,0,1,1,1,0,1,2,1,0,1,1,1
2307,0,0,0,1,1,1,1,0,0,1,2,2,0,0,3,1
1017,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1
557,0,0,0,1,1,0,0,0,1,1,2,1,0,2,2,0
2522,1,0,0,0,0,1,0,1,0,1,0,2,0,0,1,1
1207,0,0,0,1,1,0,1,0,0,1,2,1,0,0,1,0
4443,0,1,0,1,0,0,1,0,0,1,0,3,0,1,0,0
3542,1,0,0,1,1,0,1,0,0,1,0,3,2,0,0,1
3428,0,0,0,1,1,0,0,0,0,1,0,1,2,3,2,0
1510,0,0,1,1,0,1,0,0,0,1,2,1,2,1,0,1
1892,0,0,0,1,1,1,1,1,0,1,0,3,1,1,3,1
1684,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0
245,1,0,0,0,0,0,0,0,0,1,1,0,2,3,2,0
1163,0,0,0,1,1,0,1,0,0,1,2,1,0,0,3,0
2459,0,0,0,0,0,0,1,0,0,1,1,1,1,3,3,0
3024,0,0,1,1,0,0,0,1,0,1,2,1,2,2,2,0
266,1,1,0,0,0,0,1,0,1,1,1,2,0,3,1,1
2488,1,0,0,1,0,1,1,1,0,1,2,1,0,2,3,1
1114,0,0,0,1,1,1,1,1,0,1,0,3,0,1,1,0
63,0,1,0,1,1,0,0,1,0,1,0,0,2,3,0,1
2011,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1
2728,1,0,0,1,1,1,0,1,0,1,2,1,1,2,3,1
2277,1,0,1,1,1,1,0,1,0,1,2,2,1,2,3,1
2997,1,1,0,1,1,0,0,1,0,1,3,2,0,2,0,1
4802,0,0,0,1,1,0,1,0,0,0,2,3,2,1,3,0
3245,0,1,0,1,0,0,0,0,0,1,0,2,2,3,3,0
3182,1,0,0,1,0,0,0,1,0,1,2,1,2,2,0,1
4304,0,1,0,1,0,0,1,1,0,1,2,3,2,1,0,0
